"Data, x","Data, y","Trace 1, x","Trace 1, y","Fit, x","Fit, y"
"1925","-0.19","1956.32911392405","0.0105339585956701","1956.32911392405","-0.0228668830383161"
"1926","-0.08","1958.0253164557","0.0128282592485525","1958.0253164557","-0.0209099502323809"
"1927","-0.2","1959.72151898734","0.0167651773709283","1959.72151898734","-0.0175426056408628"
"1928","-0.2","1961.41772151899","0.0228895473742134","1961.41772151899","-0.0120285615116673"
"1929","-0.35","1963.11392405063","0.0317068497543905","1963.11392405063","-0.00363153009269765"
"1930","-0.13","1964.81012658228","0.0433892316339289","1964.81012658228","0.00801751306849239"
"1931","-0.09","1966.50632911392","0.0561009115226466","1966.50632911392","0.0209788952500372"
"1932","-0.16","1968.20253164557","0.0695811341366849","1968.20253164557","0.0348608112751915"
"1933","-0.28","1969.89873417722","0.0839484013372752","1969.89873417722","0.0496779914881217"
"1934","-0.13","1971.59493670886","0.0992996623146968","1971.59493670886","0.065445166233"
"1935","-0.19","1973.29113924051","0.115697293024103","1973.29113924051","0.0821770658539908"
"1936","-0.14","1974.98734177215","0.133161942882911","1974.98734177215","0.0998884206952669"
"1937","-0.01","1976.6835443038","0.151673610552899","1976.6835443038","0.118593961100992"
"1938","-0.02","1978.37974683544","0.171181751093295","1978.37974683544","0.13830841741534"
"1939","-0.03","1980.07594936709","0.191623532011561","1980.07594936709","0.159046519982476"
"1940","0.08","1981.77215189873","0.212952896717024","1981.77215189873","0.180808461167213"
"1941","0.13","1983.46835443038","0.235194072762345","1983.46835443038","0.203503526999744"
"1942","0.1","1985.16455696203","0.25839050503667","1985.16455696203","0.227124296295505"
"1943","0.14","1986.86075949367","0.282588281529844","1986.86075949367","0.251684099053291"
"1944","0.26","1988.55696202532","0.307839542435185","1988.55696202532","0.277196265271882"
"1945","0.13","1990.25316455696","0.334202579851692","1990.25316455696","0.303674124950075"
"1946","-0.03","1991.94936708861","0.361741367287021","1991.94936708861","0.331131008086653"
"1947","-0.03","1993.64556962025","0.390524237937764","1993.64556962025","0.3595802446804"
"1948","-0.09","1995.3417721519","0.420621583710247","1995.3417721519","0.389035164730113"
"1949","-0.09","1997.03797468354","0.452102764076252","1997.03797468354","0.419509098234571"
"1950","-0.18","1998.73417721519","0.485026343537066","1998.73417721519","0.451008598821776"
"1951","-0.07","2000.43037974684","0.519391770055661","2000.43037974684","0.483488060704234"
"1952","0.01","2002.12658227848","0.555213072914897","2002.12658227848","0.516935330718932"
"1953","0.08","2003.82278481013","0.59249715668339","2003.82278481013","0.551349106264916"
"1954","-0.12","2005.51898734177","0.631236559237047","2005.51898734177","0.586728084741231"
"1955","-0.14","2007.21518987342","0.67141368511288","2007.21518987342","0.623070963546937"
"1956","-0.2","2008.91139240506","0.713004959517262","2008.91139240506","0.660376440081074"
"1957","0.03","2010.60759493671","0.755984138258575","2010.60759493671","0.698643211742702"
"1958","0.06","2012.30379746835","0.800324569940171","2012.30379746835","0.737869975930862"
"1959","0.03","2014","0.846000542566975","2014","0.778055430044613"
"1960","-0.03","2014","0.71011031752225","",""
"1961","0.05","2014","0.71011031752225","",""
"1962","0.03","2012.30379746835","0.675415381921553","",""
"1963","0.06","2010.60759493671","0.64130228522683","",""
"1964","-0.2","2008.91139240506","0.607747920644886","",""
"1965","-0.1","2007.21518987342","0.574728241980994","",""
"1966","-0.05","2005.51898734177","0.542219610245414","",""
"1967","-0.02","2003.82278481013","0.510201055846441","",""
"1968","-0.07","2002.12658227848","0.478657588522966","",""
"1969","0.06","2000.43037974684","0.447584351352807","",""
"1970","0.03","1998.73417721519","0.416990854106487","",""
"1971","-0.09","1997.03797468354","0.386915432392891","",""
"1972","0.01","1995.3417721519","0.357448745749979","",""
"1973","0.15","1993.64556962025","0.328636251423037","",""
"1974","-0.08","1991.94936708861","0.300520648886285","",""
"1975","-0.01","1990.25316455696","0.273145670048458","",""
"1976","-0.11","1988.55696202532","0.24655298810858","",""
